id,user_id,action,entity_type,entity_id,description,metadata_json,ip_address,user_agent,created_at
"180003","2","REPORT_APPROVED","approved_report","210004","Duyệt báo cáo tạm #11 thành báo cáo chính thức #210004","{""approved_report_id"": 210004, ""process_id"": 2, ""shift"": ""D"", ""temp_report_id"": 11, ""work_date"": ""2026-07-11T00:00:00.000Z"", ""worker_id"": 3}","","","2026-07-21 05:06:21"
"180004","2","REPORT_APPROVED","approved_report","210005","Duyệt báo cáo tạm #23 thành báo cáo chính thức #210005","{""approved_report_id"": 210005, ""process_id"": 3, ""shift"": ""D"", ""temp_report_id"": 23, ""work_date"": ""2026-07-13T00:00:00.000Z"", ""worker_id"": 5}","","","2026-07-21 05:06:23"
"180005","2","REPORT_APPROVED","approved_report","210006","Duyệt báo cáo tạm #22 thành báo cáo chính thức #210006","{""approved_report_id"": 210006, ""process_id"": 4, ""shift"": ""C"", ""temp_report_id"": 22, ""work_date"": ""2026-07-12T00:00:00.000Z"", ""worker_id"": 5}","","","2026-07-21 05:06:24"
"180006","2","REPORT_APPROVED","approved_report","210007","Duyệt báo cáo tạm #1 thành báo cáo chính thức #210007","{""approved_report_id"": 210007, ""process_id"": 1, ""shift"": ""B"", ""temp_report_id"": 1, ""work_date"": ""2026-07-11T00:00:00.000Z"", ""worker_id"": 1}","","","2026-07-21 05:06:26"
"180007","2","REPORT_APPROVED","approved_report","210008","Duyệt báo cáo tạm #21 thành báo cáo chính thức #210008","{""approved_report_id"": 210008, ""process_id"": 3, ""shift"": ""B"", ""temp_report_id"": 21, ""work_date"": ""2026-07-11T00:00:00.000Z"", ""worker_id"": 5}","","","2026-07-21 05:06:27"
"180008","2","REPORT_APPROVED","approved_report","210009","Duyệt báo cáo tạm #12 thành báo cáo chính thức #210009","{""approved_report_id"": 210009, ""process_id"": 3, ""shift"": ""A"", ""temp_report_id"": 12, ""work_date"": ""2026-07-12T00:00:00.000Z"", ""worker_id"": 3}","","","2026-07-21 05:06:29"
"180009","2","REPORT_APPROVED","approved_report","210010","Duyệt báo cáo tạm #13 thành báo cáo chính thức #210010","{""approved_report_id"": 210010, ""process_id"": 2, ""shift"": ""B"", ""temp_report_id"": 13, ""work_date"": ""2026-07-13T00:00:00.000Z"", ""worker_id"": 3}","","","2026-07-21 05:06:31"
"180010","2","REPORT_APPROVED","approved_report","210011","Duyệt báo cáo tạm #16 thành báo cáo chính thức #210011","{""approved_report_id"": 210011, ""process_id"": 1, ""shift"": ""A"", ""temp_report_id"": 16, ""work_date"": ""2026-07-11T00:00:00.000Z"", ""worker_id"": 4}","","","2026-07-21 05:06:33"
"180011","2","REPORT_APPROVED","approved_report","210012","Duyệt báo cáo tạm #7 thành báo cáo chính thức #210012","{""approved_report_id"": 210012, ""process_id"": 3, ""shift"": ""D"", ""temp_report_id"": 7, ""work_date"": ""2026-07-12T00:00:00.000Z"", ""worker_id"": 2}","","","2026-07-21 05:06:34"
"180012","2","REPORT_APPROVED","approved_report","210013","Duyệt báo cáo tạm #17 thành báo cáo chính thức #210013","{""approved_report_id"": 210013, ""process_id"": 4, ""shift"": ""B"", ""temp_report_id"": 17, ""work_date"": ""2026-07-12T00:00:00.000Z"", ""worker_id"": 4}","","","2026-07-21 05:06:36"
